time,drone_id,x,y,z
4.700,0,-0.918000,0.000000,0.800000
4.700,1,-0.118000,0.000000,0.800000
4.700,2,0.682000,0.000000,0.800000
4.700,3,1.482000,0.000000,0.800000
4.800,0,-0.912000,0.000000,0.800000
4.800,1,-0.112000,0.000000,0.800000
4.800,2,0.688000,0.000000,0.800000
4.800,3,1.488000,0.000000,0.800000
4.900,0,-0.906000,0.000000,0.800000
4.900,1,-0.106000,0.000000,0.800000
4.900,2,0.694000,0.000000,0.800000
4.900,3,1.494000,0.000000,0.800000
5.000,0,-0.900000,0.000000,0.800000
5.000,1,-0.100000,0.000000,0.800000
5.000,2,0.700000,0.000000,0.800000
5.000,3,1.500000,0.000000,0.800000
5.100,0,-0.894000,0.000000,0.800000
5.100,1,-0.094000,0.000000,0.800000
5.100,2,0.706000,0.000000,0.800000
5.100,3,1.506000,0.000000,0.800000
5.200,0,-0.888000,0.000000,0.800000
5.200,1,-0.088000,0.000000,0.800000
5.200,2,0.712000,0.000000,0.800000
5.200,3,1.512000,0.000000,0.800000
5.300,0,-0.882000,0.000000,0.800000
5.300,1,-0.082000,0.000000,0.800000
5.300,2,0.718000,0.000000,0.800000
5.300,3,1.518000,0.000000,0.800000
5.400,0,-0.876000,0.000000,0.800000
5.400,1,-0.076000,0.000000,0.800000
5.400,2,0.724000,0.000000,0.800000
5.400,3,1.524000,0.000000,0.800000
5.500,0,-0.870000,0.000000,0.800000
5.500,1,-0.070000,0.000000,0.800000
5.500,2,0.730000,0.000000,0.800000
5.500,3,1.530000,0.000000,0.800000
5.600,0,-0.864000,0.000000,0.800000
5.600,1,-0.064000,0.000000,0.800000
5.600,2,0.736000,0.000000,0.800000
5.600,3,1.536000,0.000000,0.800000
5.700,0,-0.858000,0.000000,0.800000
5.700,1,-0.058000,0.000000,0.800000
5.700,2,0.742000,0.000000,0.800000
5.700,3,1.542000,0.000000,0.800000
5.800,0,-0.852000,0.000000,0.800000
5.800,1,-0.052000,0.000000,0.800000
5.800,2,0.748000,0.000000,0.800000
5.800,3,1.548000,0.000000,0.800000
5.900,0,-0.846000,0.000000,0.800000
5.900,1,-0.046000,0.000000,0.800000
5.900,2,0.754000,0.000000,0.800000
5.900,3,1.554000,0.000000,0.800000
6.000,0,-0.840000,0.000000,0.800000
6.000,1,-0.040000,0.000000,0.800000
6.000,2,0.760000,0.000000,0.800000
6.000,3,1.560000,0.000000,0.800000
6.100,0,-0.834000,0.000000,0.800000
6.100,1,-0.034000,0.000000,0.800000
6.100,2,0.766000,0.000000,0.800000
6.100,3,1.566000,0.000000,0.800000
6.200,0,-0.828000,0.000000,0.800000
6.200,1,-0.028000,0.000000,0.800000
6.200,2,0.772000,0.000000,0.800000
6.200,3,1.572000,0.000000,0.800000
6.300,0,-0.822000,0.000000,0.800000
6.300,1,-0.022000,0.000000,0.800000
6.300,2,0.778000,0.000000,0.800000
6.300,3,1.578000,0.000000,0.800000
6.400,0,-0.816000,0.000000,0.800000
6.400,1,-0.016000,0.000000,0.800000
6.400,2,0.784000,0.000000,0.800000
6.400,3,1.584000,0.000000,0.800000
6.500,0,-0.810000,0.000000,0.800000
6.500,1,-0.010000,0.000000,0.800000
6.500,2,0.790000,0.000000,0.800000
6.500,3,1.590000,0.000000,0.800000
6.600,0,-0.804000,0.000000,0.800000
6.600,1,-0.004000,0.000000,0.800000
6.600,2,0.796000,0.000000,0.800000
6.600,3,1.596000,0.000000,0.800000
6.700,0,-0.798000,0.000000,0.800000
6.700,1,0.002000,0.000000,0.800000
6.700,2,0.802000,0.000000,0.800000
6.700,3,1.602000,0.000000,0.800000
6.800,0,-0.792000,0.000000,0.800000
6.800,1,0.008000,0.000000,0.800000
6.800,2,0.808000,0.000000,0.800000
6.800,3,1.608000,0.000000,0.800000
6.900,0,-0.786000,0.000000,0.800000
6.900,1,0.014000,0.000000,0.800000
6.900,2,0.814000,0.000000,0.800000
6.900,3,1.614000,0.000000,0.800000
7.000,0,-0.780000,0.000000,0.800000
7.000,1,0.020000,0.000000,0.800000
7.000,2,0.820000,0.000000,0.800000
7.000,3,1.620000,0.000000,0.800000
7.100,0,-0.774000,0.000000,0.800000
7.100,1,0.026000,0.000000,0.800000
7.100,2,0.826000,0.000000,0.800000
7.100,3,1.626000,0.000000,0.800000
7.200,0,-0.768000,0.000000,0.800000
7.200,1,0.032000,0.000000,0.800000
7.200,2,0.832000,0.000000,0.800000
7.200,3,1.632000,0.000000,0.800000
7.300,0,-0.762000,0.000000,0.800000
7.300,1,0.038000,0.000000,0.800000
7.300,2,0.838000,0.000000,0.800000
7.300,3,1.638000,0.000000,0.800000
7.400,0,-0.756000,0.000000,0.800000
7.400,1,0.044000,0.000000,0.800000
7.400,2,0.844000,0.000000,0.800000
7.400,3,1.644000,0.000000,0.800000
7.500,0,-0.750000,0.000000,0.800000
7.500,1,0.050000,0.000000,0.800000
7.500,2,0.850000,0.000000,0.800000
7.500,3,1.650000,0.000000,0.800000
7.600,0,-0.744000,0.000000,0.800000
7.600,1,0.056000,0.000000,0.800000
7.600,2,0.856000,0.000000,0.800000
7.600,3,1.656000,0.000000,0.800000
7.700,0,-0.738000,0.000000,0.800000
7.700,1,0.062000,0.000000,0.800000
7.700,2,0.862000,0.000000,0.800000
7.700,3,1.662000,0.000000,0.800000
7.800,0,-0.732000,0.000000,0.800000
7.800,1,0.068000,0.000000,0.800000
7.800,2,0.868000,0.000000,0.800000
7.800,3,1.668000,0.000000,0.800000
7.900,0,-0.726000,0.000000,0.800000
7.900,1,0.074000,0.000000,0.800000
7.900,2,0.874000,0.000000,0.800000
7.900,3,1.674000,0.000000,0.800000
8.000,0,-0.720000,0.000000,0.800000
8.000,1,0.080000,0.000000,0.800000
8.000,2,0.880000,0.000000,0.800000
8.000,3,1.680000,0.000000,0.800000
